Instrument,Issuer Name,Industry Sub Sector Description,Country Name,Issuer Country Name,Issue Date,Maturity Date,Preferred RIC,Amount Outstanding,Coupon,FRN Index,Coupon Frequency,Coupon Type Description,Coupon Effective Date,Issuer Rating,Fitchs Rating,Moodys Rating,SP Rating,Price,Yield To Maturity,ISMA Bid Yield,ISMA Ask Yield,Yield To Maturity,Z-Spread,Call Type Description,PUTCALLIND,Option Adjusted Spread,Option Adjusted Spread Bid,Option Value,Option Adjusted Spread,Price (-25bp),Effective Duration,DV01,Convexity,Spread Duration,Price (+25bp),ZC Volatility,Zero Option Adjusted Price,Option Adjusted Convexity,Exercise Type,Duration,Modified Duration,Convexity,Make Whole Call Flag
US34539CXX54,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2005-01-20,2015-01-20,,0.0,6.15,,2.0,Fixed:Plain Vanilla Fixed Coupon,2005-01-20,,BB-,WR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,
US34539CXX54,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2005-01-20,2015-01-20,,0.0,6.15,,2.0,Fixed:Plain Vanilla Fixed Coupon,2005-01-20,,BB-,WR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,
US345397FK43,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,1988-09-15,2048-08-15,345397FK4=,110000000.0,2.43475,,2.0,Floating: Floating,2019-02-15,,BBB,Ba1,BBB-,,,,,,,Ordinary Call,,,,,,,,,,,,,,,,,,,
US345397FL26,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,1988-09-22,2048-09-15,345397FL2=,49300000.0,2.382192,,2.0,Floating: Floating,2019-03-15,,BBB,Ba1,BBB-,,,,,,,Ordinary Call,,,,,,,,,,,,,,,,,,,
US345397A456,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2020-01-09,2027-01-09,345397A45=,900000000.0,4.271,,2.0,Fixed:Plain Vanilla Fixed Coupon,2020-01-09,,BBB,Ba1,BBB-,100.4498,4.19595,4.23,4.18,4.19595,253.665568,Ordinary Call,,247.405348,249.4,0.010296,245.308452,101.957476,5.955983,0.059863,0.353373,5.955983,98.964323,245.479495,,,,5.9836,5.8614,40.1426,
US345397A290,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2020-01-09,2023-01-09,345397A29=,1500000000.0,3.087,,2.0,Fixed:Plain Vanilla Fixed Coupon,2020-01-09,,BBB,Ba1,BBB-,100.3734,2.955327,2.97,2.92,2.955327,133.71965,Make Whole Call,,131.419103,136.3,0.0,136.907624,101.087807,2.832784,0.028446,0.096138,2.832784,99.665027,136.907624,,,,2.8719,2.8304,9.5938,
US3454G0D135,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2020-01-03,2020-04-01,3454G0D13=,,0.0,,,Fixed: Discount,2020-01-03,,,,,99.4731,2.312108,2.35,2.24,2.312108,49.523525,,,47.227315,52.9,0.0,83.567575,99.528327,0.229197,0.00228,0.001589,0.229197,99.417972,83.567575,,,,0.2194,0.2208,-0.0117,
US3454G0MU99,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2020-01-03,2020-12-28,3454G0MU9=,,0.0,,,Fixed: Discount,2020-01-03,,,,,97.086,3.037909,3.06,2.96,3.037909,133.66038,,,126.851167,138.6,0.0,155.650513,97.317431,0.966442,0.009383,0.013746,0.966442,96.855403,155.650513,,,,0.9722,0.9587,1.3659,
US3454G0D218,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2020-01-02,2020-04-02,3454G0D21=,,0.0,,,Fixed: Discount,2020-01-02,,,,,99.455,2.362851,2.4,2.3,2.362851,54.914051,,,52.344551,58.2,0.0,88.802352,99.510876,0.232008,0.002307,0.001613,0.232008,99.399225,88.802352,,,,0.2222,0.2236,-0.0105,
US34540TWC25,FORD MOTOR CREDIT COMPANY LLC,Financial - Other,United States,United States,2019-12-19,2029-12-20,34540TWC2=,6826000.0,4.9,,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-12-19,,,Ba1,BBB-,99.8421,4.919809,4.98,4.93,4.919809,321.031718,Ordinary Call,,247.634266,251.5,1.632329,289.995946,100.499096,3.426913,0.034332,-6.429719,3.426913,98.782514,310.806113,,,,7.9522,7.7617,73.0216,
