Instrument,Issuer Name,Industry Sub Sector Description,Country Name,Issuer Country Name,Issue Date,Maturity Date,Preferred RIC,Amount Outstanding,Coupon,FRN Index,Coupon Frequency,Coupon Type Description,Coupon Effective Date,Issuer Rating,Fitchs Rating,Moodys Rating,SP Rating,Price,Yield To Maturity,ISMA Bid Yield,ISMA Ask Yield,Yield To Maturity,Z-Spread,Call Type Description,PUTCALLIND,Option Adjusted Spread,Option Adjusted Spread Bid,Option Value,Option Adjusted Spread,Price (-25bp),Effective Duration,DV01,Convexity,Spread Duration,Price (+25bp),ZC Volatility,Zero Option Adjusted Price,Option Adjusted Convexity,Exercise Type,Duration,Modified Duration,Convexity,Make Whole Call Flag
US37046TBB98,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2020-01-09,2020-02-11,37046TBB9=,,0,,,Fixed: Discount,2020-01-09,,,,,99.8168,2.054233,,,2.054233,51.227621,,,56.432101,,0,57.258274,99.838451,0.089637,0.000895,0.000504,0.089637,99.795181,57.258274,,,,0.0806,0.0813,-0.027,
US37046TBB98,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2020-01-09,2020-02-11,37046TBB9=,,0,,,Fixed: Discount,2020-01-09,,,,,99.8168,2.054233,,,2.054233,51.227621,,,56.432101,,0,57.258274,99.838451,0.089637,0.000895,0.000504,0.089637,99.795181,57.258274,,,,0.0806,0.0813,-0.027,
US37046TBA16,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2020-01-09,2020-02-10,37046TBA1=,,0,,,Fixed: Discount,2020-01-09,,,,,99.8226,2.053251,,,2.053251,52.085568,,,57.096546,,0,57.162755,99.843575,0.086841,0.000867,0.000486,0.086841,99.801655,57.162755,,,,0.0778,0.0785,-0.0265,
US37045XCV64,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2020-01-09,2025-02-26,37045XCV6=,1250000000,2.9,,2,Fixed:Plain Vanilla Fixed Coupon,2020-01-09,,BBB,Baa3,BBB,99.604,2.983225,3,2.95,2.983225,134.290676,Ordinary Call,,131.289118,133.6,0.003014,133.876237,100.783321,4.708224,0.046915,0.207183,4.708224,98.437582,133.940291,,,,4.7881,4.7183,25.5186,
US37046ADY82,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-12-12,2027-12-20,37046ADY8=,7044000,3.75,,2,Fixed:Plain Vanilla Fixed Coupon,2019-12-12,,,Baa3,BBB,100.0469,3.742623,3.69,3.31,3.742623,181.428681,Ordinary Call,,131.191096,140.6,1.523062,174.865707,100.560145,2.719759,0.027301,-5.396449,2.719759,99.195095,197.045094,,,,0.921,0.9051,1.2685,
US37046ADX00,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-12-12,2023-12-20,37046ADX0=,9933000,2.7,,2,Fixed:Plain Vanilla Fixed Coupon,2019-12-12,,,Baa3,BBB,99.6801,2.785948,2.8,2.75,2.785948,116.463465,Ordinary Call,,79.853523,84.6,0.236764,112.244597,100.174433,2.455196,0.024532,-3.810256,2.455196,98.947816,118.646449,,,,3.7467,3.6957,15.9009,
US37046TCL61,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-12-11,2020-03-20,37046TCL6=,,0,,,Fixed: Discount,2019-12-11,,,,,99.5561,2.280096,2.31,2.21,2.280096,45.583734,,,45.869205,50.7,0,80.350604,99.60329,0.195788,0.001949,0.001295,0.195788,99.508991,80.350604,,,,0.1861,0.1874,-0.0224,
US37046TAU88,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-12-06,2020-01-28,37046TAU8=,,0,,,Fixed: Discount,2019-12-06,,,,,99.8899,2.19241,2.23,2.13,2.19241,41.602015,,,43.698591,62.9,0,71.650094,99.902078,0.050492,0.000504,0.000265,0.050492,99.877738,71.650094,,,,0.0417,0.0421,-0.0173,
US37046TAW45,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-12-04,2020-01-30,37046TAW4=,,0,,,Fixed: Discount,2019-12-04,,,,,99.8777,2.192083,2.23,2.12,2.192083,41.10766,,,43.834692,62.2,0,71.602299,99.89123,0.056096,0.00056,0.000297,0.056096,99.864189,71.602299,,,,0.0472,0.0477,-0.019,
US37046TBQ67,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-12-03,2020-02-24,37046TBQ6=,,0,,,Fixed: Discount,2019-12-03,,,,,99.7172,2.256091,2.29,2.19,2.256091,43.315203,,,50.121205,56.5,0,78.052441,99.747586,0.126053,0.001257,0.00075,0.126053,99.686861,78.052441,,,,0.1167,0.1176,-0.0305,
US37046TB453,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-12-03,2020-02-04,37046TB45=,,0,,,Fixed: Discount,2019-12-03,,,,,99.845,2.223109,2.26,2.16,2.223109,42.921301,,,46.909936,63.3,0,74.781493,99.861904,0.070108,0.0007,0.00038,0.070108,99.828119,74.781493,,,,0.0611,0.0617,-0.0229,
US37046TAN46,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-21,2020-01-22,37046TAN4=,,0,,,Fixed: Discount,2019-11-21,,,,,99.9256,2.221326,2.26,2.15,2.221326,47.374444,,,46.842233,67,0,74.689051,99.93372,0.033678,0.000337,0.000171,0.033678,99.91749,74.689051,,,,0.025,0.0253,-0.0112,
US37046TDV35,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-15,2020-04-29,37046TDV3=,,0,,,Fixed: Discount,2019-11-15,,,,,99.2785,2.364456,2.4,2.3,2.364456,56.347894,,,51.107606,59.1,0,88.222121,99.352428,0.306937,0.003047,0.002355,0.306937,99.204719,88.222121,,,,0.2972,0.2986,0.0307,
US37046TCG76,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-13,2020-03-16,37046TCG7=,,0,,,Fixed: Discount,2019-11-13,,,,,99.5786,2.295104,2.33,2.23,2.295104,46.920291,,,48.281967,53,0,81.931969,99.623099,0.184656,0.001839,0.001202,0.184656,99.534176,81.931969,,,,0.175,0.1763,-0.025,
US37046TC931,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-08,2020-03-09,37046TC93=,,0,,,Fixed: Discount,2019-11-08,,,,,99.625,2.28371,2.32,2.22,2.28371,45.690393,,,49.414188,53.7,0,80.806379,99.664799,0.165139,0.001645,0.001044,0.165139,99.585266,80.806379,,,,0.1556,0.1567,-0.0284,
US37046TB370,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-06,2020-02-03,37046TB37=,,0,,,Fixed: Discount,2019-11-06,,,,,99.8508,2.228924,2.26,2.16,2.228924,43.87954,,,47.611483,64.4,0,75.390994,99.867029,0.067309,0.000672,0.000363,0.067309,99.834594,75.390994,,,,0.0583,0.0589,-0.0222,
US37046TB529,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-06,2020-02-05,37046TB52=,,0,,,Fixed: Discount,2019-11-06,,,,,99.8381,2.232863,2.27,2.17,2.232863,43.742718,,,47.940043,63.8,0,75.784814,99.855679,0.07291,0.000728,0.000397,0.07291,99.820546,75.784814,,,,0.0639,0.0645,-0.0236,
US37046ADW27,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-15,2027-11-20,37046ADW2=,5431000,3.75,,2,Fixed:Plain Vanilla Fixed Coupon,2019-11-15,,,Baa3,BBB,99.7721,3.78318,3.82,3.77,3.78318,209.656049,Ordinary Call,,144.973759,151.7,1.088492,184.991532,100.387863,3.235652,0.032482,-6.256705,3.235652,98.763781,201.065879,,,,6.8284,6.7022,52.4064,
US37046ADV44,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-15,2024-11-20,37046ADV4=,6888000,3,,2,Fixed:Plain Vanilla Fixed Coupon,2019-11-15,,,Baa3,BBB,98.9063,3.244862,3.27,3.22,3.244862,161.508293,Ordinary Call,,131.724128,135.9,0.106325,159.005324,99.717479,3.66957,0.036475,-3.241604,3.66957,97.89374,161.40493,,,,4.5237,4.4521,22.9169,
US37046TB784,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-11-05,2020-02-07,37046TB78=,,0,,,Fixed: Discount,2019-11-05,,,,,99.8255,2.235005,2.27,2.17,2.235005,43.520347,,,48.146441,63.1,0,75.992344,99.844428,0.07851,0.000784,0.000432,0.07851,99.806599,75.992344,,,,0.0694,0.0701,-0.0248,
US37046TBR41,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-10-25,2020-02-25,37046TBR4=,,0,,,Fixed: Discount,2019-10-25,,,,,99.71,2.263359,2.3,2.2,2.263359,43.943955,,,50.711849,56.8,0,78.797289,99.741058,0.128849,0.001285,0.00077,0.128849,99.67899,78.797289,,,,0.1194,0.1204,-0.0305,
US37046TAX28,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-10-23,2020-01-31,37046TAX2=,,0,,,Fixed: Discount,2019-10-23,,,,,99.8697,2.22426,2.26,2.16,2.22426,44.195818,,,47.143391,65.1,0,74.929179,99.883903,0.058905,0.000588,0.000313,0.058905,99.855517,74.929179,,,,0.05,0.0505,-0.0199,
US37046TAM62,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-10-22,2020-01-21,37046TAM6=,,0,,,Fixed: Discount,2019-10-22,,,,,99.9322,2.208224,2.24,2.14,2.208224,46.672165,,,45.511746,65.6,0,73.337763,99.939645,0.030872,0.000309,0.000156,0.030872,99.924765,73.337763,,,,0.0222,0.0225,-0.0101,
US37046TBU79,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-10-18,2020-02-28,37046TBU7=,,0,,,Fixed: Discount,2019-10-18,,,,,99.6905,2.268077,2.3,2.2,2.268077,44.389978,,,50.757893,55.9,0,79.263379,99.723577,0.137229,0.001368,0.000831,0.137229,99.657475,79.263379,,,,0.1278,0.1288,-0.0305,
US37046TBC71,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-10-16,2020-02-12,37046TBC7=,,0,,,Fixed: Discount,2019-10-16,,,,,99.7936,2.243708,2.28,2.18,2.243708,43.553938,,,48.981892,61.5,0,76.857663,99.815901,0.092504,0.000923,0.000521,0.092504,99.771332,76.857663,,,,0.0833,0.0841,-0.0274,
US37046TAF12,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-10-10,2020-01-15,37046TAF1=,,0,,,Fixed: Discount,2019-10-10,,,,,99.9693,2.19899,2.24,2.13,2.19899,56.6679,,,44.53366,61.5,0,72.422294,99.972685,0.014037,0.00014,6.90E-05,0.014037,99.965919,72.422294,,,,0.0056,0.0056,-0.0027,
US37046ADT97,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-09-19,2023-09-20,37046ADT9=,6015000,2.8,,2,Fixed:Plain Vanilla Fixed Coupon,2019-09-19,,,Baa3,BBB,99.0954,3.060843,3.08,3.03,3.060843,144.578606,Ordinary Call,,122.131498,126.2,0.054061,144.998742,99.755325,2.934225,0.029339,-2.354047,2.934225,98.288362,146.569811,,,,3.4912,3.439,13.9496,
US37046ADU60,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-09-19,2027-09-20,37046ADU6=,4985000,3.75,,2,Fixed:Plain Vanilla Fixed Coupon,2019-09-19,,,Baa3,BBB,99.7814,3.782424,3.82,3.77,3.782424,210.097137,Ordinary Call,,146.582719,152.4,1.113837,184.99954,100.310464,2.94804,0.029769,-6.818476,2.94804,98.822008,201.76156,,,,6.6644,6.5412,50.1809,
US37046TAP93,GENERAL MOTORS FINANCIAL COMPANY INC,Financial - Other,United States,United States,2019-09-18,2020-01-23,37046TAP9=,,0,,,Fixed: Discount,2019-09-18,,,,,99.9197,2.213233,2.25,2.15,2.213233,45.748612,,,45.716101,66.2,0,73.843003,99.928497,0.036481,0.000365,0.000186,0.036481,99.910915,73.843003,,,,0.0278,0.0281,-0.0123,
