Instrument,Issuer Name,Industry Sub Sector Description,Country Name,Issuer Country Name,Issue Date,Maturity Date,Preferred RIC,Amount Outstanding,Coupon,Coupon Frequency,Coupon Type Description,Coupon Effective Date,Issuer Rating,Fitchs Rating,Moodys Rating,SP Rating,Price,Yield To Maturity,ISMA Bid Yield,ISMA Ask Yield,Yield To Maturity,Z-Spread,Call Type Description,PUTCALLIND,Option Adjusted Spread,Option Adjusted Spread Bid,Option Value,Option Adjusted Spread,Price (-25bp),Effective Duration,DV01,Convexity,Spread Duration,Price (+25bp),ZC Volatility,Zero Option Adjusted Price,Option Adjusted Convexity,Exercise Type,Duration,Modified Duration,Convexity,Make Whole Call Flag
US577767AA40,MAXWELL TECHNOLOGIES INC,Electronics,United States,United States,2017-09-25,2022-09-15,577767AA4=,46000000,5.5,2.0,Fixed:Plain Vanilla Fixed Coupon,2017-09-25,,,,,156.373,-11.827961,,,-11.827961,,,,,,0.0,-1341.055633,157.438538,2.68334,0.042448,0.088937,2.68334,155.316255,-1341.055633,,,American (Any Time),,,0.0,
US577767AA40,MAXWELL TECHNOLOGIES INC,Electronics,United States,United States,2017-09-25,2022-09-15,577767AA4=,46000000,5.5,2.0,Fixed:Plain Vanilla Fixed Coupon,2017-09-25,,,,,156.373,-11.827961,,,-11.827961,,,,,,0.0,-1341.055633,157.438538,2.68334,0.042448,0.088937,2.68334,155.316255,-1341.055633,,,American (Any Time),,,0.0,
US88160RAG65,TESLA INC,Automotive Manufacturer,United States,United States,2019-05-07,2024-05-15,88160RAG6=,1840000000,2.0,2.0,Fixed:Plain Vanilla Fixed Coupon,2019-05-07,,,,B-,168.744,-10.202568,,,-10.202568,,,,,,0.0,-1181.967075,170.630496,4.437177,0.07502,0.223689,4.437177,166.881141,-1181.967075,,,American (Any Time),,,0.0,
US88160RAE18,TESLA INC,Automotive Manufacturer,United States,United States,2017-08-18,2025-08-15,88160RAE1=,1800000000,5.3,2.0,Fixed:Plain Vanilla Fixed Coupon,2017-08-18,,,Caa1,B-,100.0,5.298964,5.37,5.05,5.298964,359.780484,Ordinary Call,,331.500889,342.7052,0.238553,358.71607,100.981371,3.969362,0.040564,-1.025113,3.969362,98.953154,363.6982,,,,3.2411,3.1599,12.2391,
USU8810LAA18,TESLA INC,Automotive Manufacturer,Eurobond,United States,2017-08-18,2025-08-15,US166858275=,1800000000,5.3,2.0,Fixed:Plain Vanilla Fixed Coupon,2017-08-18,,,Caa1,B-,100.0,5.298964,5.3,5.14,5.298964,360.887236,Ordinary Call,,332.426571,339.61,0.235486,358.916428,100.982819,3.974726,0.040619,-1.022687,3.974726,98.951861,363.834571,,,,3.241,3.1596,12.2374,
US88160RAD35,TESLA INC,Automotive Manufacturer,United States,United States,2017-03-22,2022-03-15,88160RAD3=,977500000,2.375,2.0,Fixed:Plain Vanilla Fixed Coupon,2017-03-22,,,,B-,158.151,-18.244274,,,-18.244274,,,,,,0.0,-1984.898495,159.082815,2.340266,0.037195,0.068179,2.340266,157.225958,-1984.898495,,,American (Any Time),,,0.0,
US88160RAC51,TESLA INC,Automotive Manufacturer,United States,United States,2014-03-05,2021-03-01,88160RAC5=,1380000000,1.25,2.0,Fixed:Plain Vanilla Fixed Coupon,2014-03-05,,,,B-,141.136,-27.284715,,,-27.284715,,,,,,0.0,-2886.810854,141.596666,1.30077,0.018419,0.024453,1.30077,140.677498,-2886.810854,,,American (Any Time),,,0.0,
US83416TAE01,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-07,2020-12-01,83416TAE0=,103000000,0.0,,Fixed: Zero Coupon,2015-12-07,,,,,100.0,0.0,,,0.0,,,,,,0.0,-153.077887,100.220778,0.880556,0.008806,0.01218,0.880556,99.779983,-153.077887,,,American (Any Time),,,0.0,
US83417KFL70,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-31,2025-12-31,83417KFL7=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-31,,,,,84.3692,8.054799,8.21,8.11,8.054799,651.050018,,,634.673125,655.9,0.0,636.895981,85.430119,4.879117,0.042114,0.289019,4.879117,83.323872,636.895981,,,,5.0742,4.8789,28.8886,
US83417KFK97,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-31,2020-12-31,83417KFK9=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-31,,,,,94.2483,10.038143,10.27,10.16,10.038143,850.560703,,,824.197046,856.5,0.0,848.092163,94.463153,0.893305,0.008552,0.012442,0.893305,94.034191,848.092163,,,,0.9354,0.8909,1.2326,
US83417KFM53,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-31,2030-12-31,83417KFM5=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-31,,,,,78.8513,8.446567,8.62,8.54,8.446567,680.720579,,,662.989348,684.1,0.0,661.980505,80.383304,7.474676,0.060625,0.73207,7.474676,77.356407,661.980505,,,,7.793,7.4786,73.4429,
US83417KFS24,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2016-01-14,2031-01-14,83417KFS2=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2016-01-14,,,,,78.4953,8.496562,8.67,8.59,8.496562,685.889622,,,667.938139,689.3,0.0,666.948098,80.022201,7.482804,0.060424,0.734542,7.482804,77.005471,666.948098,,,,7.8034,7.4868,73.6996,
US83417KFR41,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2016-01-14,2026-01-14,83417KFR4=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2016-01-14,,,,,83.3972,8.2648,8.43,8.33,8.2648,672.896675,,,655.635274,677.7,0.0,657.759488,84.449512,4.894938,0.041775,0.291174,4.894938,82.360419,657.759488,,,,5.0959,4.8948,29.1096,
US83417KFQ67,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2016-01-14,2021-01-14,83417KFQ6=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2016-01-14,,,,,94.0155,10.03809,10.3,10.19,10.03809,851.612097,,,825.18802,857.4,0.0,848.873955,94.238234,0.928932,0.008872,0.013266,0.928932,93.793558,848.873955,,,,0.9728,0.9265,1.316,
US83417KFB98,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-03,2030-12-03,83417KFB9=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-03,,,,,78.9356,8.446563,8.62,8.54,8.446563,680.981719,,,663.222576,684.4,0.0,662.210022,80.462117,7.441234,0.060416,0.724548,7.441234,77.44585,662.210022,,,,7.7581,7.4451,72.7004,
US83417KFA16,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-03,2025-12-03,83417KFA1=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-03,,,,,84.5171,8.054803,8.22,8.11,8.054803,651.422117,,,635.015432,656.2,0.0,637.480707,85.568257,4.827447,0.041739,0.282694,4.827447,83.481219,637.480707,,,,5.0204,4.8272,28.2691,
US83417KEZ75,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-03,2020-12-03,83417KEZ7=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-03,,,,,94.6321,10.08816,10.34,10.23,10.08816,856.726378,,,829.665904,861.5485,0.0,854.332543,94.830817,0.824372,0.007924,0.010861,0.824372,94.434035,854.332543,,,,0.8632,0.8219,1.0787,
US83417KFF03,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-17,2025-12-17,83417KFF0=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-17,,,,,84.4362,8.054809,8.22,8.11,8.054809,651.407932,,,634.974781,656.2,0.0,637.353845,85.492142,4.854207,0.041931,0.28584,4.854207,83.39569,637.353845,,,,5.0483,4.854,28.5891,
US83417KDZ84,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-09-17,2025-09-17,83417KDZ8=,4890000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-09-17,,,,,85.3623,7.954802,8.11,8.01,7.954802,641.430638,,,625.501991,646.4291,0.0,628.555274,86.3926,4.68647,0.040916,0.26612,4.68647,84.346522,628.555274,,,,4.8713,4.6861,26.6058,
US83417KEA25,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-09-17,2030-09-17,83417KEA2=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-09-17,,,,,80.3348,8.256567,8.42,8.34,8.256567,661.606307,,,644.637666,665.1,0.0,643.547964,81.874484,7.378721,0.060941,0.708504,7.378721,78.831688,643.547964,,,,7.6857,7.3823,71.074,
US83417KFE38,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-17,2020-12-17,83417KFE3=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-17,,,,,94.4061,10.088074,10.34,10.23,10.088074,857.870469,,,830.670522,862.7972,0.0,855.201521,94.612787,0.860003,0.008247,0.011634,0.860003,94.20011,855.201521,,,,0.9006,0.8576,1.157,
US83417KFG85,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-17,2030-12-17,83417KFG8=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-12-17,,,,,78.8887,8.446578,8.62,8.54,8.446578,680.931952,,,663.167115,684.3,0.0,662.174668,80.417847,7.458466,0.060521,0.728285,7.458466,77.396489,662.174668,,,,7.7761,7.4623,73.0834,
US83417KCG13,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-02,2020-07-02,83417KCG1=,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-02,,,,,97.1143,10.088079,10.34,10.23,10.088079,854.6834,,,827.96667,854.3407,0.0,856.488205,97.222068,0.437701,0.004316,0.004007,0.437701,97.006779,856.488205,,,,0.457,0.4352,0.3989,
US83417KAK43,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-03-26,2030-03-26,83417KAK4=,260000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-03-26,,,,,80.8971,8.256572,8.42,8.34,8.256572,662.932824,,,645.859541,666.3,0.0,644.734948,82.399974,7.157495,0.059517,0.661645,7.157495,79.428612,644.734948,,,,7.4548,7.1605,66.3891,
US83417KAH14,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-03-26,2020-03-26,83417KAH1=,222000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-03-26,,,,,98.7571,10.038245,10.28,10.18,10.038245,,,,,854.9,0.0,864.650318,98.80372,0.188511,0.00189,0.001231,0.188511,98.710557,864.650318,,,,,,,
US83417KCJ51,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-02,2030-07-02,83417KCJ5=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-02,,,,,80.5793,8.256573,8.42,8.34,8.256573,662.22359,,,645.199849,665.5,0.0,644.094991,82.10302,7.282683,0.060326,0.687825,7.282683,79.09119,644.094991,,,,7.5854,7.286,69.0129,
US83417KCH95,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-02,2025-07-02,83417KCH9=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-02,,,,,85.9935,7.904803,8.06,7.96,7.904803,636.994152,,,621.253001,641.5,0.0,625.036429,86.99871,4.542172,0.039943,0.249593,4.542172,85.002008,625.036429,,,,4.72,4.5416,24.9704,
US83417KCE64,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-25,2030-06-25,83417KCE6=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-25,,,,,80.6027,8.256573,8.42,8.34,8.256573,662.249664,,,645.228326,665.7,0.0,644.116463,82.124961,7.273596,0.060268,0.685941,7.273596,79.115962,644.116463,,,,7.5759,7.2769,68.82,
US83417KCD81,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-25,2025-06-25,83417KCD8=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-25,,,,,86.0341,7.904803,8.06,7.96,7.904803,636.996029,,,621.267231,641.8,0.0,625.085404,87.036737,4.528329,0.03984,0.248086,4.528329,85.045105,625.085404,,,,4.7056,4.5278,24.817,
US83417KCC09,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-25,2020-06-25,,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US83417KAJ79,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-03-26,2025-03-26,83417KAJ7=,100000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-03-26,,,,,86.5477,7.904808,8.06,7.96,7.904808,637.759801,,,621.987822,642.5,0.0,626.503074,87.516346,4.351915,0.038511,0.228895,4.351915,85.591713,626.503074,,,,4.5221,4.3512,22.9099,
US83417KBY38,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-18,2020-06-18,83417KBY3=,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-18,,,,,97.3712,10.038052,10.28,10.18,10.038052,847.647977,,,821.064635,851.7,0.0,850.485039,97.470413,0.40146,0.003969,0.003534,0.40146,97.272206,850.485039,,,,0.4188,0.3989,0.351,
US83417KER59,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-11-05,2030-11-05,,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US83417KEL89,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-10-16,2030-10-16,83417KEL8=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-10-16,,,,,79.0918,8.446564,8.62,8.54,8.446564,681.316687,,,663.536291,684.7,0.0,662.496766,80.609132,7.38317,0.06006,0.711789,7.38317,77.610656,662.496766,,,,7.6974,7.3868,71.4213,
US83417KEJ34,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-10-16,2020-10-16,83417KEJ3=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-10-16,,,,,95.428,10.038074,10.29,10.18,10.038074,850.59101,,,823.910747,855.8,0.0,849.390011,95.599133,0.704877,0.006832,0.008406,0.704877,95.257376,849.390011,,,,0.7375,0.7024,0.8356,
US83417KBZ03,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-18,2025-06-18,83417KBZ0=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-18,,,,,85.8762,7.954819,8.11,8.01,7.954819,642.19976,,,626.28413,647.024,0.0,630.13705,86.873528,4.512335,0.039628,0.246393,4.512335,84.892396,630.13705,,,,4.6901,4.5117,24.6452,
US83417KEK07,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-10-16,2025-10-16,83417KEK0=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-10-16,,,,,85.4068,7.904815,8.06,7.96,7.904815,636.210141,,,620.420424,641.0,0.0,623.270131,86.450302,4.744613,0.041445,0.272689,4.744613,84.378186,623.270131,,,,4.9306,4.7443,27.2737,
US83416TAD28,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-12-07,2020-12-01,83416TAD2=,103000000,0.0,,Fixed: Zero Coupon,2015-12-07,,,,,100.0,0.0,,,0.0,,,,,,0.0,-153.077887,100.220778,0.880556,0.008806,0.01218,0.880556,99.779983,-153.077887,,,American (Any Time),,,0.0,
US83417KEV61,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-11-19,2025-11-19,83417KEV6=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-11-19,,,,,84.5979,8.054797,8.22,8.11,8.054797,651.433637,,,635.055002,656.3,0.0,637.608948,85.644256,4.800668,0.041547,0.279566,4.800668,83.566665,637.608948,,,,4.9925,4.8004,27.9508,
US83417KEQ76,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-11-05,2025-11-05,83417KEQ7=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-11-05,,,,,84.6785,8.054813,8.22,8.11,8.054813,651.447405,,,635.097463,656.4,0.0,637.740977,85.720038,4.773866,0.041353,0.276455,4.773866,83.651929,637.740977,,,,4.9646,4.7736,27.6344,
US83417KEW45,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-11-19,2030-11-19,,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US83417KEU88,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-11-19,2020-11-19,83417KEU8=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-11-19,,,,,94.8966,10.038101,10.28,10.18,10.038101,850.208247,,,823.618041,855.9,0.0,848.381897,95.08743,0.788927,0.007604,0.010119,0.788927,94.70638,848.381897,,,,0.8258,0.7865,1.0036,
US83417KEP93,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-11-05,2020-11-05,83417KEP9=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-11-05,,,,,95.0854,10.088115,10.34,10.23,10.088115,854.08224,,,827.497967,860.0,0.0,852.327407,95.268059,0.75309,0.007273,0.009392,0.75309,94.903308,852.327407,,,,0.7883,0.7506,0.9301,
US83417KCT34,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-23,2025-07-23,83417KCT3=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-23,,,,,85.6705,7.954813,8.11,8.01,7.954813,642.187298,,,626.208317,646.7,0.0,629.842798,86.680597,4.581457,0.040141,0.253945,4.581457,84.674309,629.842798,,,,4.762,4.5809,25.4134,
US83417KCS50,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-23,2020-07-23,83417KCS5=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-23,,,,,96.7594,10.088216,10.34,10.23,10.088216,856.925896,,,830.104034,857.6,0.0,857.951097,96.879989,0.4922,0.004836,0.004768,0.4922,96.639104,857.951097,,,,0.5143,0.4897,0.476,
US83417KCP12,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-16,2030-07-16,83417KCP1=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-16,,,,,80.2309,8.306574,8.47,8.4,8.306574,667.384345,,,650.14688,670.7,0.0,649.060476,81.750287,7.292808,0.060156,0.6905,7.292808,78.747111,649.060476,,,,7.5978,7.2962,69.2894,
US83417KCN63,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-16,2025-07-16,83417KCN6=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-16,,,,,85.7117,7.954813,8.11,8.01,7.954813,642.190349,,,626.224692,646.7,0.0,629.920372,86.719252,4.567642,0.040039,0.252426,4.567642,84.717977,629.920372,,,,4.7477,4.5671,25.2588,
US83417KCM80,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-16,2020-07-16,83417KCM8=,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-16,,,,,96.8776,10.088176,10.34,10.23,10.088176,856.21453,,,829.471268,856.4,0.0,857.44528,96.993926,0.474034,0.004663,0.004508,0.474034,96.761551,857.44528,,,,0.4952,0.4715,0.4496,
US83417KDU97,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-09-03,2025-09-03,83417KDU9=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-09-03,,,,,85.4405,7.954803,8.11,8.01,7.954803,641.438991,,,625.541268,646.5,0.0,628.696009,86.465848,4.659521,0.040718,0.263082,4.659521,84.42952,628.696009,,,,4.8433,4.6591,26.2969,
US83417KDT25,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-09-03,2020-09-03,83417KDT2=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-09-03,,,,,96.0944,10.088071,10.34,10.23,10.088071,851.218737,,,825.47104,859.2,0.0,851.232001,96.240286,0.595161,0.005808,0.006457,0.595161,95.948908,851.232001,,,,0.6224,0.5927,0.6384,
US83417KCU07,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-07-23,2030-07-23,83417KCU0=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-07-23,,,,,80.2071,8.306576,8.47,8.4,8.306576,667.358408,,,650.118534,670.6,0.0,649.039481,81.727919,7.301844,0.060213,0.692386,7.301844,78.721966,649.039481,,,,7.6073,7.3052,69.4825,
US83417KCZ93,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-06,2030-08-06,83417KCZ9=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-06,,,,,80.1629,8.306565,8.47,8.4,8.306565,667.134753,,,649.931553,670.4,0.0,648.833541,81.686649,7.318611,0.060319,0.696171,7.318611,78.675012,648.833541,,,,7.6248,7.322,69.8417,
US83417KDV70,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-09-03,2030-09-03,83417KDV7=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-09-03,,,,,80.0752,8.306576,8.47,8.4,8.306576,666.869731,,,649.696935,670.4,0.0,648.595974,81.604672,7.352845,0.060537,0.703638,7.352845,78.581935,648.595974,,,,7.6605,7.3564,70.5786,
US83417KDQ85,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-27,2030-08-27,83417KDQ8=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-27,,,,,80.0911,8.306573,8.47,8.4,8.306573,667.057564,,,649.846951,670.4,0.0,648.772303,81.61911,7.345642,0.060489,0.701855,7.345642,78.599212,648.772303,,,,7.653,7.3491,70.4237,
US83417KDN54,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-27,2020-08-27,83417KDN5=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-27,,,,,96.1924,10.088124,10.34,10.23,10.088124,855.163654,,,828.602948,857.3,0.0,855.181105,96.334102,0.579871,0.005664,0.006161,0.579871,96.051074,855.181105,,,,0.6063,0.5774,0.6129,
US83417KDD72,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-13,2025-08-13,83417KDD7=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-13,,,,,85.5527,7.954796,8.11,8.01,7.954796,641.805139,,,625.869374,646.4,0.0,629.256552,86.570497,4.620902,0.040432,0.25854,4.620902,84.549042,629.256552,,,,4.8031,4.6204,25.8577,
