Date,FFG0
2019-01-02,97.65
2019-01-03,97.825
2019-01-04,97.72
2019-01-07,97.68
2019-01-08,97.605
2019-01-09,97.625
2019-01-10,97.615
2019-01-11,97.63
2019-01-14,97.635
2019-01-15,97.635
2019-01-16,97.63
2019-01-17,97.605
2019-01-18,97.555
2019-01-22,97.61
2019-01-23,97.585
2019-01-24,97.605
2019-01-25,97.565
2019-01-28,97.58
2019-01-29,97.585
2019-01-30,97.625
2019-01-31,97.7
2019-02-01,97.66
2019-02-04,97.635
2019-02-05,97.645
2019-02-06,97.64
2019-02-07,97.68
2019-02-08,97.695
2019-02-11,97.665
2019-02-12,97.65
2019-02-13,97.615
2019-02-14,97.655
2019-02-15,97.64
2019-02-19,97.65
2019-02-20,97.655
2019-02-21,97.64
2019-02-22,97.67
2019-02-25,97.665
2019-02-26,97.68
2019-02-27,97.665
2019-02-28,97.645
2019-03-01,97.605
2019-03-04,97.62
2019-03-05,97.6
2019-03-06,97.625
2019-03-07,97.665
2019-03-08,97.675
2019-03-11,97.66
2019-03-12,97.695
2019-03-13,97.7
2019-03-14,97.695
2019-03-15,97.72
2019-03-18,97.705
2019-03-19,97.695
2019-03-20,97.75
2019-03-21,97.745
2019-03-22,97.845
2019-03-25,97.945
2019-03-26,97.905
2019-03-27,97.955
2019-03-28,97.93
2019-03-29,97.885
2019-04-01,97.835
2019-04-02,97.85
2019-04-03,97.825
2019-04-04,97.81
2019-04-05,97.8
2019-04-08,97.785
2019-04-09,97.8
2019-04-10,97.81
2019-04-11,97.785
2019-04-12,97.745
2019-04-15,97.74
2019-04-16,97.735
2019-04-17,97.745
2019-04-18,97.755
2019-04-22,97.77
2019-04-23,97.785
2019-04-24,97.835
2019-04-25,97.81
2019-04-26,97.85
2019-04-29,97.84
2019-04-30,97.86
2019-05-01,97.83
2019-05-02,97.78
2019-05-03,97.785
2019-05-06,97.815
2019-05-07,97.845
2019-05-08,97.835
2019-05-09,97.855
2019-05-10,97.875
2019-05-13,97.95
2019-05-14,97.94
2019-05-15,97.975
2019-05-16,97.94
2019-05-17,97.95
2019-05-20,97.93
2019-05-21,97.895
2019-05-22,97.91
2019-05-23,98.02
2019-05-24,97.99
2019-05-28,98.02
2019-05-29,98.06
2019-05-30,98.065
2019-05-31,98.225
2019-06-03,98.36
2019-06-04,98.34
2019-06-05,98.375
2019-06-06,98.33
2019-06-07,98.37
2019-06-10,98.315
2019-06-11,98.285
2019-06-12,98.315
2019-06-13,98.385
2019-06-14,98.37
2019-06-17,98.33
2019-06-18,98.32
2019-06-19,98.45
2019-06-20,98.485
2019-06-21,98.44
2019-06-24,98.49
2019-06-25,98.48
2019-06-26,98.41
2019-06-27,98.435
2019-06-28,98.415
2019-07-01,98.365
2019-07-02,98.395
2019-07-03,98.395
2019-07-05,98.285
2019-07-08,98.3
2019-07-09,98.285
2019-07-10,98.36
2019-07-11,98.315
2019-07-12,98.35
2019-07-15,98.355
2019-07-16,98.335
2019-07-17,98.36
2019-07-18,98.445
2019-07-19,98.39
2019-07-22,98.39
2019-07-23,98.355
2019-07-24,98.36
2019-07-25,98.35
2019-07-26,98.33
2019-07-29,98.345
2019-07-30,98.33
2019-07-31,98.265
2019-08-01,98.445
2019-08-02,98.455
2019-08-05,98.64
2019-08-06,98.585
2019-08-07,98.655
2019-08-08,98.6
2019-08-09,98.585
2019-08-12,98.635
2019-08-13,98.54
2019-08-14,98.625
2019-08-15,98.69
2019-08-16,98.695
2019-08-19,98.635
2019-08-20,98.665
2019-08-21,98.61
2019-08-22,98.565
2019-08-23,98.645
2019-08-26,98.605
2019-08-27,98.605
2019-08-28,98.605
2019-08-29,98.57
2019-08-30,98.585
2019-09-03,98.64
2019-09-04,98.685
2019-09-05,98.6
2019-09-06,98.605
2019-09-09,98.575
2019-09-10,98.525
2019-09-11,98.52
2019-09-12,98.475
2019-09-13,98.41
2019-09-16,98.465
2019-09-17,98.44
2019-09-18,98.425
2019-09-19,98.46
2019-09-20,98.42
2019-09-23,98.47
2019-09-24,98.545
2019-09-25,98.485
2019-09-26,98.48
2019-09-27,98.51
2019-09-30,98.495
2019-10-01,98.555
2019-10-02,98.615
2019-10-03,98.7
2019-10-04,98.67
2019-10-07,98.63
2019-10-08,98.65
2019-10-09,98.61
2019-10-10,98.59
2019-10-11,98.51
2019-10-14,98.53
2019-10-15,98.495
2019-10-16,98.535
2019-10-17,98.52
2019-10-18,98.555
2019-10-21,98.535
2019-10-22,98.56
2019-10-23,98.57
2019-10-24,98.555
2019-10-25,98.535
2019-10-28,98.52
2019-10-29,98.515
2019-10-30,98.525
2019-10-31,98.575
2019-11-01,98.53
2019-11-04,98.51
2019-11-05,98.49
2019-11-06,98.51
2019-11-07,98.485
2019-11-08,98.485
2019-11-11,98.48
2019-11-12,98.49
2019-11-13,98.5
2019-11-14,98.505
2019-11-15,98.49
2019-11-18,98.495
2019-11-19,98.495
2019-11-20,98.505
2019-11-21,98.485
2019-11-22,98.48
2019-11-25,98.47
2019-11-26,98.47
2019-11-27,98.46
2019-11-29,98.465
2019-12-02,98.46
2019-12-03,98.475
2019-12-04,98.47
2019-12-05,98.475
2019-12-06,98.46
2019-12-09,98.46
2019-12-10,98.46
2019-12-11,98.455
2019-12-12,98.445
2019-12-13,98.445
2019-12-16,98.44
2019-12-17,98.44
2019-12-18,98.435
2019-12-19,98.435
2019-12-20,98.435
2019-12-23,98.43
2019-12-24,98.43
2019-12-26,98.43
2019-12-27,98.43
2019-12-30,98.435
2019-12-31,98.44
2020-01-02,98.44
2020-01-03,98.425
2020-01-06,98.43
2020-01-07,98.425
2020-01-08,98.425
2020-01-09,98.43
2020-01-10,98.425
2020-01-13,98.42
2020-01-14,98.42
2020-01-15,98.42
2020-01-16,98.42
2020-01-17,98.42
2020-01-21,98.425
2020-01-22,98.42
2020-01-23,98.42
2020-01-24,98.42
2020-01-27,98.425
2020-01-28,98.42
2020-01-29,98.405
2020-01-30,98.41
2020-01-31,98.41
2020-02-03,98.4125
2020-02-04,98.41
2020-02-05,98.4075
2020-02-06,98.41
2020-02-07,98.4125
2020-02-10,98.415
2020-02-11,98.415
2020-02-12,98.4175
2020-02-13,98.415
