Date,VALUE,VOLUME
2019-11-14 06:12:50.555,98.69,1.0
2019-11-14 07:05:13.129,98.69,1.0
2019-11-14 07:05:13.141,98.69,1.0
2019-11-14 07:05:13.141,98.69,3.0
2019-11-14 07:05:13.141,98.69,1.0
2019-11-14 07:05:13.179,98.69,5.0
2019-11-14 07:05:13.179,98.69,3.0
2019-11-14 08:35:53.188,98.71,9.0
2019-11-14 08:46:48.480,98.71,1.0
2019-11-14 08:46:48.490,98.71,1.0
2019-11-14 09:03:35.136,98.705,25.0
2019-11-14 09:04:18.044,98.705,25.0
2019-11-14 09:16:17.388,98.71,10.0
2019-11-14 09:55:06.335,98.71,3.0
2019-11-14 10:22:08.379,98.7,11.0
2019-11-14 10:22:08.387,98.7,2.0
2019-11-14 10:22:08.389,98.7,2.0
2019-11-14 10:54:42.813,98.7,5.0
2019-11-14 10:59:10.712,98.7,1.0
2019-11-14 10:59:17.701,98.7,9.0
2019-11-14 10:59:17.709,98.7,9.0
2019-11-14 10:59:17.709,98.7,6.0
2019-11-14 10:59:17.709,98.7,7.0
2019-11-14 11:31:12.877,98.705,5.0
2019-11-14 11:43:35.877,98.705,1.0
2019-11-14 13:05:09.830,98.71,1.0
2019-11-14 13:11:25.545,98.705,2.0
2019-11-14 13:38:30.523,98.71,106.0
2019-11-14 13:38:39.214,98.71,19.0
2019-11-14 13:42:07.292,98.71,5.0
2019-11-14 13:53:32.229,98.715,4.0
2019-11-14 13:53:38.556,98.715,44.0
2019-11-14 13:53:38.568,98.715,5.0
2019-11-14 13:53:38.576,98.715,26.0
2019-11-14 13:53:38.578,98.715,71.0
2019-11-14 14:21:00.770,98.72,5.0
2019-11-14 14:37:47.069,98.72,107.0
2019-11-14 14:41:32.402,,2.0
2019-11-14 14:41:59.574,98.725,43.0
2019-11-14 15:01:12.416,98.725,117.0
2019-11-14 15:01:12.426,98.725,20.0
2019-11-14 15:08:09.788,98.72,2.0
2019-11-14 15:08:09.799,98.72,25.0
2019-11-14 15:08:09.959,98.72,1.0
2019-11-14 15:08:10.002,98.72,1.0
2019-11-14 15:08:10.070,98.725,2.0
2019-11-14 15:08:10.353,98.725,1.0
2019-11-14 15:08:32.106,98.725,1.0
2019-11-14 15:08:32.106,98.725,1.0
2019-11-14 15:08:32.118,98.725,2.0
2019-11-14 15:08:33.159,98.725,2.0
2019-11-14 15:08:33.187,98.725,1.0
2019-11-14 15:08:33.209,98.725,1.0
2019-11-14 15:08:33.237,98.725,1.0
2019-11-14 15:08:35.061,,3.0
2019-11-14 15:08:40.659,,3.0
2019-11-14 15:08:40.699,,1.0
2019-11-14 15:10:04.581,98.725,8.0
2019-11-14 15:20:44.089,98.725,2.0
2019-11-14 15:30:05.443,98.73,4.0
2019-11-14 15:37:22.655,98.725,35.0
2019-11-14 15:55:38.991,98.725,16.0
2019-11-14 15:59:26.094,98.725,78.0
2019-11-14 15:59:26.104,98.725,4.0
2019-11-14 15:59:26.104,98.725,3.0
2019-11-14 16:00:43.165,98.73,12.0
2019-11-14 16:00:43.325,98.73,19.0
2019-11-14 16:01:07.080,98.73,3.0
2019-11-14 16:01:07.080,98.73,1.0
2019-11-14 16:01:55.797,98.73,11.0
2019-11-14 16:01:55.807,98.73,5.0
2019-11-14 16:02:53.208,98.73,96.0
2019-11-14 16:04:14.425,98.73,2.0
2019-11-14 16:08:05.590,98.73,3.0
2019-11-14 16:10:31.367,98.73,2.0
2019-11-14 16:30:25.172,98.735,1.0
2019-11-14 16:30:34.082,98.735,5.0
2019-11-14 16:32:43.745,98.735,25.0
2019-11-14 16:32:43.796,98.735,10.0
2019-11-14 16:41:54.610,98.735,10.0
2019-11-14 16:41:54.752,98.735,9.0
2019-11-14 16:42:31.153,98.74,2.0
2019-11-14 16:42:32.444,98.745,2.0
2019-11-14 16:42:51.613,98.74,10.0
2019-11-14 16:43:04.505,98.74,13.0
2019-11-14 16:44:31.974,98.74,4.0
2019-11-14 17:09:17.048,98.735,19.0
2019-11-14 17:24:21.731,98.735,5.0
2019-11-14 17:24:21.742,98.735,3.0
2019-11-14 17:24:21.842,98.735,14.0
2019-11-14 17:24:25.170,98.735,7.0
2019-11-14 17:24:25.182,98.735,2.0
2019-11-14 17:27:27.739,98.735,10.0
2019-11-14 18:00:58.870,98.735,2.0
2019-11-14 18:01:02.020,98.735,2.0
2019-11-14 18:31:19.927,98.735,2.0
2019-11-14 18:57:56.272,98.74,23.0
2019-11-14 18:57:56.372,98.74,6.0
2019-11-14 18:57:56.388,98.74,4.0
2019-11-14 18:57:56.412,98.74,6.0
2019-11-14 18:57:56.550,98.745,5.0
2019-11-14 18:57:56.652,98.74,3.0
2019-11-14 18:57:56.652,98.74,1.0
2019-11-14 18:57:56.920,98.74,57.0
2019-11-14 18:57:56.920,98.74,19.0
2019-11-14 18:58:38.016,98.74,22.0
2019-11-14 18:58:38.025,98.74,13.0
2019-11-14 19:17:53.259,98.73,5.0
2019-11-14 19:17:58.268,98.73,1.0
2019-11-14 19:18:03.748,98.73,1.0
2019-11-14 19:21:31.159,98.73,39.0
2019-11-14 19:25:31.260,,5.0
2019-11-14 19:27:11.437,98.735,5.0
2019-11-14 19:27:11.437,98.735,3.0
2019-11-14 19:27:20.525,98.735,2.0
2019-11-14 19:44:01.224,,2.0
2019-11-14 19:46:55.618,98.73,16.0
2019-11-14 19:46:55.618,98.73,14.0
2019-11-14 19:47:40.449,98.73,41.0
2019-11-14 20:11:15.951,98.73,2.0
2019-11-14 20:11:20.651,98.73,4.0
2019-11-14 20:11:51.410,98.73,41.0
2019-11-14 20:15:21.340,98.73,2.0
2019-11-14 20:21:41.505,98.73,100.0
2019-11-14 20:38:08.306,98.73,7.0
2019-11-14 20:38:08.306,98.73,9.0
2019-11-14 21:20:03.861,98.735,1.0
2019-11-14 21:20:03.869,98.735,1.0
2019-11-14 21:20:03.869,98.735,1.0
2019-11-14 21:20:03.869,98.735,1.0
2019-11-14 21:20:03.871,98.735,1.0
2019-11-14 21:44:11.561,98.735,12.0
2019-11-14 21:55:24.091,98.735,1.0
2019-11-14 21:56:34.811,98.73,1.0
2019-11-14 23:41:47.339,98.72,5.0
2019-11-15 02:56:37.545,98.71,1.0
2019-11-15 02:56:37.555,98.71,10.0
2019-11-15 02:56:37.555,98.71,1.0
2019-11-15 02:56:37.555,98.71,1.0
2019-11-15 02:56:37.557,98.71,17.0
2019-11-15 08:14:40.727,98.725,5.0
2019-11-15 08:25:29.260,98.725,72.0
2019-11-15 09:00:27.465,98.72,2.0
2019-11-15 09:00:27.475,98.72,1.0
2019-11-15 09:00:27.615,98.72,6.0
2019-11-15 09:00:27.615,98.72,5.0
2019-11-15 10:19:19.702,98.71,17.0
2019-11-15 12:00:01.183,98.715,2.0
2019-11-15 12:00:16.601,98.715,72.0
2019-11-15 12:00:16.701,98.715,4.0
2019-11-15 12:00:16.703,98.715,7.0
2019-11-15 12:00:18.061,98.715,21.0
2019-11-15 12:00:54.442,98.715,126.0
2019-11-15 12:00:54.562,98.715,16.0
2019-11-15 12:05:00.160,98.71,4.0
2019-11-15 12:05:00.160,98.71,3.0
2019-11-15 12:05:00.160,98.71,2.0
2019-11-15 12:05:00.160,98.71,2.0
2019-11-15 12:05:00.160,98.71,14.0
2019-11-15 12:05:00.170,98.71,84.0
2019-11-15 12:09:31.574,98.705,2.0
2019-11-15 12:09:31.574,98.705,4.0
2019-11-15 12:09:31.576,98.705,4.0
2019-11-15 13:08:37.779,98.705,45.0
2019-11-15 13:08:37.819,98.705,2.0
2019-11-15 13:30:03.892,,1.0
2019-11-15 13:33:13.807,98.71,6.0
2019-11-15 13:49:28.623,98.72,114.0
2019-11-15 13:49:28.631,98.72,7.0
2019-11-15 13:49:28.633,98.72,29.0
2019-11-15 14:14:37.581,98.715,32.0
2019-11-15 14:23:04.258,98.71,1.0
2019-11-15 14:23:08.957,98.71,1.0
2019-11-15 14:23:12.946,98.71,1.0
2019-11-15 14:23:23.585,98.71,1.0
2019-11-15 14:33:16.223,98.7,9.0
2019-11-15 14:33:23.344,98.7,10.0
2019-11-15 14:33:54.569,98.7,9.0
2019-11-15 14:49:10.474,98.705,10.0
2019-11-15 14:51:26.109,98.705,8.0
2019-11-15 15:16:16.184,98.71,7.0
2019-11-15 15:46:28.535,98.715,2.0
2019-11-15 16:37:33.456,98.71,15.0
2019-11-15 16:37:33.478,98.71,1.0
2019-11-15 16:44:37.765,98.71,60.0
2019-11-15 16:45:51.426,98.71,1.0
2019-11-15 17:31:08.126,98.715,12.0
2019-11-15 17:36:49.386,98.715,5.0
2019-11-15 17:36:57.456,98.715,2.0
2019-11-15 17:36:57.456,98.715,3.0
2019-11-15 18:36:22.228,98.71,5.0
2019-11-15 19:28:36.467,98.715,2.0
2019-11-15 20:07:27.767,98.715,1.0
2019-11-15 20:59:22.883,98.715,2.0
2019-11-15 20:59:56.734,98.715,2.0
2019-11-18 09:51:07.929,98.7,2.0
2019-11-18 12:20:59.209,98.7,41.0
2019-11-18 12:20:59.217,98.7,7.0
2019-11-18 12:20:59.217,98.7,20.0
2019-11-18 12:20:59.217,98.7,82.0
2019-11-18 12:35:06.123,98.695,9.0
2019-11-18 12:43:50.838,98.695,102.0
2019-11-18 13:00:46.843,98.695,5.0
2019-11-18 13:05:17.896,98.695,5.0
2019-11-18 13:16:59.915,98.695,5.0
2019-11-18 13:21:33.619,98.71,22.0
2019-11-18 13:22:42.812,98.715,13.0
2019-11-18 13:23:25.811,98.71,5.0
2019-11-18 13:23:25.831,98.71,4.0
2019-11-18 13:25:34.583,98.715,5.0
2019-11-18 13:26:50.675,98.72,7.0
2019-11-18 13:28:45.047,98.725,1.0
2019-11-18 13:29:49.482,98.73,5.0
2019-11-18 13:29:58.382,98.73,20.0
2019-11-18 13:34:14.531,98.73,5.0
2019-11-18 13:35:17.819,98.73,5.0
2019-11-18 13:38:04.677,98.73,5.0
2019-11-18 13:41:50.834,98.73,28.0
2019-11-18 13:46:54.761,98.73,5.0
2019-11-18 13:47:37.121,98.73,5.0
2019-11-18 13:52:55.647,98.725,1.0
2019-11-18 13:53:07.587,98.725,2.0
2019-11-18 13:53:07.625,98.725,1.0
2019-11-18 13:59:44.133,98.725,5.0
2019-11-18 13:59:44.135,98.725,5.0
2019-11-18 14:01:38.230,98.725,5.0
2019-11-18 14:10:05.297,98.73,5.0
2019-11-18 14:16:23.938,98.73,15.0
2019-11-18 14:21:17.499,98.735,5.0
2019-11-18 14:22:17.108,98.735,154.0
2019-11-18 14:22:17.140,98.735,5.0
2019-11-18 14:24:28.468,98.74,10.0
2019-11-18 14:26:43.297,98.74,4.0
2019-11-18 14:26:52.165,98.74,2.0
2019-11-18 14:26:52.167,98.74,2.0
2019-11-18 14:26:52.167,98.74,22.0
2019-11-18 14:30:48.682,98.74,5.0
2019-11-18 14:35:33.374,98.74,5.0
2019-11-18 14:39:16.909,98.745,5.0
2019-11-18 14:47:44.634,98.74,5.0
2019-11-18 14:51:15.174,98.74,5.0
2019-11-18 14:54:50.497,98.74,1.0
2019-11-18 14:54:50.507,98.74,1.0
2019-11-18 14:55:21.381,98.74,30.0
2019-11-18 15:00:00.112,98.735,5.0
2019-11-18 15:00:00.156,98.735,5.0
2019-11-18 15:02:34.028,98.735,5.0
2019-11-18 15:06:21.421,98.735,5.0
2019-11-18 15:06:21.487,98.735,5.0
2019-11-18 15:53:35.761,98.74,5.0
2019-11-18 16:07:40.434,98.745,5.0
2019-11-18 16:07:40.456,98.745,9.0
2019-11-18 16:10:41.874,98.745,5.0
2019-11-18 16:10:55.126,98.74,13.0
2019-11-18 16:10:55.126,98.74,5.0
2019-11-18 16:10:58.754,98.74,20.0
2019-11-18 16:11:03.416,98.74,2.0
2019-11-18 16:11:03.416,98.74,4.0
2019-11-18 16:11:09.393,98.74,30.0
2019-11-18 16:12:33.249,98.74,5.0
2019-11-18 16:20:07.205,98.745,5.0
2019-11-18 16:23:59.696,98.745,1.0
2019-11-18 16:26:30.769,98.74,5.0
2019-11-18 16:34:36.606,98.74,5.0
2019-11-18 17:18:24.433,98.745,5.0
2019-11-18 17:39:52.454,98.74,10.0
2019-11-18 17:40:00.274,,3.0
2019-11-18 18:19:13.354,98.74,4.0
2019-11-18 18:28:37.705,98.74,1.0
2019-11-18 18:28:37.944,98.74,1.0
2019-11-18 18:29:20.960,98.74,5.0
2019-11-18 18:55:05.732,98.74,5.0
2019-11-18 19:04:52.892,98.74,11.0
2019-11-18 19:15:00.335,98.74,1.0
2019-11-18 19:18:35.807,98.74,2.0
2019-11-18 19:37:44.152,98.74,5.0
2019-11-18 19:44:43.861,98.74,30.0
2019-11-18 19:59:52.686,98.74,5.0
2019-11-18 20:06:25.207,98.74,5.0
2019-11-18 20:13:47.445,,10.0
2019-11-18 20:51:02.929,98.74,3.0
2019-11-18 20:51:03.181,98.74,6.0
2019-11-18 21:36:47.030,98.735,2.0
2019-11-18 23:54:11.461,98.735,5.0
2019-11-19 00:47:07.951,98.755,100.0
2019-11-19 06:39:13.323,98.725,15.0
2019-11-19 07:07:25.184,98.725,30.0
2019-11-19 07:07:25.184,98.72,20.0
2019-11-19 08:24:33.375,98.71,5.0
2019-11-19 08:24:33.517,98.71,1.0
2019-11-19 08:29:17.991,98.71,4.0
2019-11-19 08:51:45.917,98.715,50.0
2019-11-19 10:17:37.561,98.71,4.0
2019-11-19 10:19:15.039,98.71,4.0
2019-11-19 11:43:01.964,98.72,1.0
2019-11-19 12:31:47.499,98.725,5.0
2019-11-19 12:48:50.894,98.725,11.0
2019-11-19 12:48:50.902,98.725,10.0
2019-11-19 12:50:15.268,98.725,5.0
2019-11-19 13:01:14.806,98.725,191.0
2019-11-19 13:01:14.846,98.725,3.0
2019-11-19 13:01:15.016,98.725,2.0
2019-11-19 13:01:15.016,98.725,31.0
2019-11-19 13:01:15.834,98.725,5.0
2019-11-19 13:01:15.846,98.725,2.0
2019-11-19 13:01:15.846,98.725,4.0
2019-11-19 13:01:41.696,98.725,5.0
2019-11-19 13:01:53.154,98.725,37.0
