RIC,Date,Local Time,Country,Relevance,Type,Indicator Name,Period,Reuters Poll,Actual,Unit,Surprise,Prior,Revised,Min,Max,Count,SmartEstimate®,Predicted Surprise
USJOB=ECI,2019-11-14,8:30,United States,High,-1,Initial Jobless Claims,"4 Nov, w/e",215k,227k,Person,12.0k,211k,,210k,220k,34,214.9k,-0.1k
USRSL=ECI,2019-11-15,8:30,United States,High,1,Retail Sales MM,Oct,0.20%,0.30%,Percent,0.10%,-0.40%,,-0.20%,0.60%,64,0.19%,-0.01%
USIP=ECI,2019-11-15,9:15,United States,High,1,Industrial Production MM,Oct,-0.40%,-0.50%,Percent,-0.10%,-0.50%,,-1.00%,0.30%,64,-0.48%,-0.08%
USHST=ECI,2019-11-19,8:30,United States,High,1,Housing Starts Number,Oct,1.320M,1.340M,Number of,0.0200M,1.266M,,1.262M,1.409M,56,1.3132M,-0.0068M
USJOB=ECI,2019-11-21,8:30,United States,High,-1,Initial Jobless Claims,"11 Nov, w/e",219k,228k,Person,9.0k,227k,,213k,225k,31,218.0k,-1.0k
USPFDB=ECI,2019-11-21,8:30,United States,High,1,Philly Fed Business Indx,Nov,7,8.4,Index,1.4,6.8,,4,12,39,6.71,-0.29
USEHS=ECI,2019-11-21,10:00,United States,High,1,Existing Home Sales,Oct,5.47M,5.44M,Number of,-0.030M,5.36M,,5.27M,5.60M,54,5.475M,0.005M
USPMCF=ECI,2019-11-22,9:45,United States,High,1,Markit Comp Flash PMI,Nov,,,Index (diffusion),,,,,,,,
USMPMP=ECI,2019-11-22,9:45,United States,High,1,Markit Mfg PMI Flash,Nov,,,Index (diffusion),,,,,,,,
USMPSP=ECI,2019-11-22,9:45,United States,High,1,Markit Svcs PMI Flash,Nov,,,Index (diffusion),,,,,,,,
USUMSF=ECI,2019-11-22,10:00,United States,High,1,U Mich Sentiment Final,Nov,95.7,96.8,Index,1.1,95.7,,93,96.6,41,95.67,-0.03
USCONC=ECI,2019-11-26,10:00,United States,High,1,Consumer Confidence,Nov,127,126.8,Index,-0.2,126.1,,122,131.3,50,127.1,0.1
USHNS=ECI,2019-11-26,10:00,United States,High,1,New Home Sales-Units,Oct,0.709M,0.705M,Number of,-0.0040M,0.725M,,0.650M,0.732M,57,0.7072M,-0.0018M
USDGN=ECI,2019-11-27,8:30,United States,High,1,Durable Goods,Oct,-0.80%,0.60%,Percent,1.40%,-1.40%,,-2.40%,0.70%,59,-0.88%,-0.08%
USGDPP=ECI,2019-11-27,8:30,United States,High,1,GDP 2nd Estimate,Q3,1.90%,2.10%,Percent,0.20%,1.90%,,1.70%,2.30%,65,1.89%,-0.01%
USJOB=ECI,2019-11-27,8:30,United States,High,-1,Initial Jobless Claims,"18 Nov, w/e",221k,213k,Person,-8.0k,228k,,209k,227k,32,221.8k,0.8k
USGPCS=ECI,2019-11-27,10:00,United States,High,1,"Consumption, Adjusted MM",Oct,0.30%,0.20%,Percent,-0.10%,0.20%,,0.00%,0.50%,60,0.26%,-0.04%
USMPMF=ECI,2019-12-02,9:45,United States,High,1,Markit Mfg PMI Final,Nov,,52.6,Index (diffusion),,52.2,,,,,,
USPMI=ECI,2019-12-02,10:00,United States,High,1,ISM Manufacturing PMI,Nov,49.2,48.1,Index,-1.1,48.5,,46.2,52.2,57,49.3,0.1
USPMIP=ECI,2019-12-04,9:45,United States,High,1,Markit Comp Final PMI,Nov,,52,Index (diffusion),,51.9,,,,,,
USMPSF=ECI,2019-12-04,9:45,United States,High,1,Markit Svcs PMI Final,Nov,,51.6,Index (diffusion),,51.6,,,,,,
USNPMI=ECI,2019-12-04,10:00,United States,High,1,ISM N-Mfg PMI,Nov,54.5,53.9,Index,-0.6,54.4,,53.5,55.5,53,54.59,0.09
USTBAL=ECI,2019-12-05,8:30,United States,High,1,International Trade $,Oct,-48.7B,-47.4B,USD,1.33B,-51.5B,,-54.3B,-46.8B,46,-49.30B,-0.60B
USJOB=ECI,2019-12-05,8:30,United States,High,-1,Initial Jobless Claims,"25 Nov, w/e",215k,203k,Person,-12.0k,213k,,200k,221k,26,214.8k,-0.2k
USFORD=ECI,2019-12-05,10:00,United States,High,1,Factory Orders MM,Oct,0.30%,0.20%,Percent,-0.10%,-0.80%,,-1.10%,0.80%,40,0.27%,-0.03%
USNFAR=ECI,2019-12-06,8:30,United States,High,1,Non-Farm Payrolls,Nov,180k,261k,Person,81.0k,185k,,120k,237k,80,181.8k,1.8k
USUNR=ECI,2019-12-06,8:30,United States,High,1,Unemployment Rate,Nov,3.60%,3.50%,Percent,-0.10%,3.60%,,3.50%,3.70%,73,3.58%,-0.02%
USAVHE=ECI,2019-12-06,8:30,United States,High,1,Average Earnings YY,Nov,3.00%,3.30%,Percent,0.30%,3.20%,,2.90%,3.20%,40,3.02%,0.02%
USUMSP=ECI,2019-12-06,10:00,United States,High,1,U Mich Sentiment Prelim,Dec,97,99.2,Index,2.2,96.8,,94.7,100,47,97.13,0.13
USCPI=ECI,2019-12-11,8:30,United States,High,1,"CPI MM, SA",Nov,0.20%,0.30%,Percent,0.10%,0.20%,,0.00%,0.30%,66,0.22%,0.02%
USFOMC=ECI,2019-12-11,14:00,United States,High,1,Fed Funds Target Rate,12-Dec,,1.63%,Percent,,1.63%,,,,,,
USIOR=ECI,2019-12-11,14:00,United States,High,1,Fed Int On Excess Reserves,12-Dec,,1.55%,Percent,,1.55%,,,,,,
USJOB=ECI,2019-12-12,8:30,United States,High,-1,Initial Jobless Claims,"2 Dec, w/e",213k,252k,Person,39.0k,203k,,197k,251k,34,215.5k,2.5k
USRSL=ECI,2019-12-13,8:30,United States,High,1,Retail Sales MM,Nov,0.50%,0.30%,Percent,-0.20%,0.30%,,0.20%,0.70%,62,0.43%,-0.07%
